keys,en,pt_BR
NEW_GAME,New Game,Novo Jogo
CONTINUE,Continue,Continuar
LOAD_GAME,Load Game,Carregar Jogo
SETTINGS,Settings,Configurações
CREDITS,Credits,Créditos
QUIT,Quit,Sair
LANGUAGE,Language,Idioma
BACK_MAIN,Back to Main Menu,Voltar ao Menu Inicial
SLOW,Slow,Lento
FAST,Fast,Rápido
CHARACTERS_PER_SECOND,Characters per Second,Caracteres por Segundo
TEXT_SPEED,Text Speed,Velocidade do Texto
MUSIC_VOLUME,Music Volume,Volume da Música
SFX_VOLUME,Sound Effects Volume,Volume dos Efeitos
DISPLAY_MODE,Display Mode,Modo de Exibição
FULLSCREEN,Fullscreen,Tela Cheia
WINDOWED,Windowed,Janela
BORDERLESS,Borderless Window,Janela Sem Bordas
GAME_TITLE,The Whisper in Their Eyes,O Sussurro em Seus Olhos
NO_DATA,No Data,Sem Dados
SAVE,Save,Salvar
QUICK_SAVE,Quick Save,Salvamento Rápido
QUICK_LOAD,Quick Load,Carregamento Rápido
LOAD,Load,Carregar
GALLERY,Gallery,Galeria
SAVE_DATA,Save Data,Dados Salvos
MAIN_MENU,Main Menu,Menu Principal
WARNING,Warning,Aviso
CONFIRM_QUIT,Are you sure you want to quit?,Tem certeza que deseja sair?
YES,Yes,Sim
NO,No,Não
SKIP,Skip,Pular
PAUSE,Pause,Pausar
HISTORY,History,Histórico
HIDE_TEXT,Hide Text,Ocultar Texto
DIRECTOR_WRITER,Director / Writer,Escritor / Diretor
PROGRAMMER,Programmer,Programador
CHARACTER_ARTIST,Character Artist,Artista de Personagem
BACKGROUND_ARTIST,Background Artist,Artista de Plano de Fundo
UI_CG_ARTIST,UI and CG Artist,Artista de UI e Cenas Especiais
COMPOSER,Composer,Compositora
PROOFREADER,Proofreader,Revisor
GALLERY_UNLOCKED,Gallery Unlocked,Galeria Desbloqueada
POLAROID_1,Polaroid (version 1),Polaroid (versão 1)
POLAROID_2,Polaroid (version 2),Polaroid (versão 2)
POLAROID_3,Polaroid (version 3),Polaroid (versão 3)
POLAROID_4,Polaroid (version 4),Polaroid (versão 4)
BROUGHT_BY,Brought to you by:,Trazido até você por:
PROG_TRANS,Programming and Portuguese Translation by,Programação e Tradução para o Português por
BG_BY,Background CG by,Arte de Cenários por
CG_UI_BY,"CG, UI Art, and Storefront Design by","Design de Cenários, Interface, e Página da Loja por"
ADD_CG_BY,Additional CG Support,Suporte Adicional em Cenários
CHAR_BY,Character Art by,Arte de Personagens por
ADD_CHAR_BY,Additional Character Art Support,Suporte em Arte de Personagens Adicional
OST_BY,Soundtrack and SFX by,Trilha Sonora e Efeitos por
PROOF_BY,Proofreading by,Revisão por
DIR_BY,Written and Directed by,Escrito e Dirigido por
ADD_PUBLIC,"Additional Public Domain Backgrounds, courtesy of","Cenários Adicionais de Domínio Público, cortesia de"
ADD_SFX,Additional Public Domain SFX courtesy of,Efeitos Sonoros Adicionais de Domínio Público cortesia de
SP_THX,Special Thanks to,Agradecimentos Especiais a
THANK_YOU,THANK YOU FOR PLAYING!,OBRIGADO POR JOGAR!
MADE_WITH,Made With,Feito Com
